,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
91,2735,2735,a815,b2608,visuals,mew,Apr 28 2017,visuals,mew,Apr 28 2017,1
59,1957,1957,a2866,b320,trevor jackson presents: science fiction dancehall classics,various artists,Oct 2 2015,i'll be home for christmas,various artists,Nov 24 2014,0
0,24,24,a1024,b2294,world eater,blanck mass,Mar 3 2017,world eater,blanck mass,Mar 3 2017,1
34,1123,1123,a2119,b1418,solid states,the posies,May 6 2016,chrome,the screaming jets,May 6 2016,0
28,999,999,a20,b2329,pop 2 [mixtape],charli xcx,Dec 15 2017,number 1 angel,charli xcx,Mar 10 2017,0
50,1672,1672,a2600,b3117,royalty,chris brown,Dec 18 2015,heartbreak on a full moon,chris brown,Oct 31 2017,0
11,562,562,a1493,b150,requiem,goat,Oct 7 2016,commune,goat,Sep 23 2014,0
35,1149,1149,a213,b2416,the wild,the rural alberta advantage,Oct 13 2017,the wild,raekwon,Mar 24 2017,0
23,942,942,a1917,b461,friday night [live],will butler,Jun 17 2016,policy,will butler,Mar 10 2015,0
52,1795,1795,a2719,b905,get up,bryan adams,Oct 30 2015,get up!,bryan adams,Oct 2 2015,1
10,455,455,a1416,b1863,the serenity of suffering,korn,Oct 21 2016,the serenity of suffering,korn,Oct 21 2016,1
31,1077,1077,a2062,b1426,coloring book [mixtape],chance the rapper,May 13 2016,coloring book,chance the rapper,May 13 2016,0
66,2120,2120,a315,b3027,fabriclive 94,midland,Sep 22 2017,on the rocks,midland,Sep 22 2017,0
57,1899,1899,a2823,b928,surrender,hurts,Oct 9 2015,surrender,hurts,Oct 9 2015,1
79,2358,2358,a555,b2541,silhouettes and statues: a gothic revolution 1978-1986 [box set],various artists,Jul 7 2017,the fate of the furious: the album,various artists,Apr 14 2017,0
