,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
26,955,955,a1932,b1507,breakin' point,peter bjorn and john,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
86,2584,2584,a700,b2725,sgt. pepper's lonely hearts club band [50th anniversary edition deluxe version],the beatles,May 26 2017,different days,the charlatans,May 26 2017,0
2,98,98,a1094,b2236,terrible human beings,the orwells,Feb 17 2017,terrible human beings,the orwells,Feb 17 2017,1
55,1837,1837,a2749,b2355,"ork records: new york, new york",various artists,Oct 30 2015,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
75,2329,2329,a518,b2893,out in the storm,waxahatchee,Jul 14 2017,out in the storm,waxahatchee,Jul 14 2017,1
93,2870,2870,a897,b2508,more scared of you than you are of me,the smith street band,Apr 7 2017,whiteout conditions,the new pornographers,Apr 7 2017,0
16,683,683,a1641,b1682,skeleton tree,nick cave & the bad seeds,Sep 9 2016,act v: hymns with the devil in confessional,the dear hunter,Sep 9 2016,0
73,2284,2284,a491,b2003,noise reduction system: formative european electronica 1974-1984 [box set],various artists,Jul 28 2017,the hamilton mixtape,various artists,Dec 2 2016,0
54,1814,1814,a2731,b320,joy of living: a tribute to ewan maccoll,various artists,Oct 30 2015,i'll be home for christmas,various artists,Nov 24 2014,0
95,2880,2880,a904,b2518,thunder of the gods,sun ra,Apr 7 2017,the assassination of julius caesar,ulver,Apr 7 2017,0
53,1807,1807,a2731,b2355,joy of living: a tribute to ewan maccoll,various artists,Oct 30 2015,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
92,2857,2857,a895,b2505,memories: do not open,the chainsmokers,Apr 7 2017,let me fly,mike + the mechanics,Apr 7 2017,0
78,2355,2355,a555,b2108,silhouettes and statues: a gothic revolution 1978-1986 [box set],various artists,Jul 7 2017,"she rocks, vol. 1",various artists,Jan 20 2017,0
13,637,637,a1569,b553,"young as the morning, old as the sea",passenger,Sep 23 2016,whispers ii,passenger,Apr 20 2015,0
7,282,282,a1260,b3067,the return of east atlanta santa,gucci mane,Dec 16 2016,mr. davis,gucci mane,Oct 13 2017,0
30,1072,1072,a2054,b1445,mayday,boys noize,May 20 2016,mayday,boys noize,May 20 2016,1
22,850,850,a1801,b1599,major key,dj khaled,Jul 29 2016,major key,dj khaled,Jul 29 2016,1
24,946,946,a1924,b1507,blood//sugar//secs//traffic,the gotobeds,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
33,1107,1107,a2099,b498,bottomless pit,death grips,May 6 2016,the powers that b,death grips,Mar 31 2015,0
8,285,285,a1264,b1528,peace trail,neil young,Dec 9 2016,earth,neil young,Jun 17 2016,0
43,1385,1385,a2325,b1280,feelin kinda free,the drones,Mar 18 2016,gather up the chaps,the falcon,Mar 18 2016,0
62,2020,2020,a2922,b854,"imani, vol. 1",blackalicious,Sep 18 2015,imani vol. 1,blackalicious,Sep 18 2015,1
3,127,127,a1116,b320,new order presents be music,various artists,Feb 17 2017,i'll be home for christmas,various artists,Nov 24 2014,0
71,2226,2226,a428,b2963,lukas nelson & promise of the real [2017],lukas nelson & promise of the real,Aug 25 2017,be here now,the mynabirds,Aug 25 2017,0
45,1482,1482,a2412,b2205,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
48,1652,1652,a2587,b1092,i long to see you,charles lloyd,Jan 15 2016,i long to see you,charles lloyd & the marvels,Jan 15 2016,1
6,212,212,a1208,b1780,epoch,tycho,Jan 20 2017,epoch,tycho,Sep 30 2016,1
99,3004,3004,a997,b2338,everybody works,jay som,Mar 10 2017,everybody works,jay som,Mar 10 2017,1
82,2491,2491,a630,b2003,pop makossa: invasive dance beat of cameroon,various artists,Jun 16 2017,the hamilton mixtape,various artists,Dec 2 2016,0
76,2333,2333,a524,b2887,soft sounds from another planet,japanese breakfast,Jul 14 2017,soft sounds from another planet,japanese breakfast,Jul 14 2017,1
60,1980,1980,a2882,b883,dodge and burn,the dead weather,Sep 25 2015,dodge and burn,the dead weather,Sep 25 2015,1
80,2380,2380,a560,b3178,c88 [box set],various artists,Jul 7 2017,quality control: control the streets volume 1,various artists,Dec 8 2017,0
90,2701,2701,a777,b2630,"from a room, vol. 1",chris stapleton,May 5 2017,from a room: volume 1,chris stapleton,May 5 2017,1
68,2145,2145,a353,b1528,hitchhiker,neil young,Sep 8 2017,earth,neil young,Jun 17 2016,0
51,1779,1779,a2707,b996,one,kate boy,Nov 6 2015,one,kate boy,Nov 6 2015,1
27,974,974,a1955,b1518,hollow bones,rival sons,Jun 10 2016,hollow bones,rival sons,Jun 10 2016,1
18,714,714,a1659,b1682,signs of light,the head and the heart,Sep 9 2016,act v: hymns with the devil in confessional,the dear hunter,Sep 9 2016,0
56,1878,1878,a2799,b1833,the documentary 2.5,the game,Oct 16 2015,1992,the game,Oct 14 2016,0
63,2053,2053,a2965,b838,ropewalk,the view,Sep 11 2015,hollywood vampires,the hollywood vampires,Sep 11 2015,1
74,2299,2299,a502,b2616,sacred hearts club,foster the people,Jul 21 2017,iii,foster the people,Apr 30 2017,0
1,83,83,a1074,b2263,youngish american,dams of the west,Feb 24 2017,still // alone,the golden filter,Feb 24 2017,0
61,2007,2007,a2905,b865,crosseyed heart,keith richards,Sep 18 2015,crosseyed heart,keith richards,Sep 18 2015,1
42,1343,1343,a2300,b1288,"barbara barbara, we face a shining future",underworld,Mar 18 2016,"barbara barbara, we face a shining future",underworld,Mar 18 2016,1
41,1307,1307,a2254,b2887,psychopomp,japanese breakfast,Apr 1 2016,soft sounds from another planet,japanese breakfast,Jul 14 2017,0
4,150,150,a1143,b2171,process,sampha,Feb 3 2017,process,sampha,Feb 3 2017,1
15,671,671,a1626,b1681,splendor & misery,clipping,Sep 9 2016,splendor & misery,clipping.,Sep 9 2016,1
17,692,692,a1645,b1696,sea of noise,st. paul & the broken bones,Sep 9 2016,skeleton tree,nick cave and the bad seeds,Sep 9 2016,0
40,1271,1271,a2228,b1314,everything you've come to expect,the last shadow puppets,Apr 1 2016,the wilderness,explosions in the sky,Apr 1 2016,0
38,1228,1228,a2198,b1337,gore,deftones,Apr 8 2016,gore,deftones,Apr 8 2016,1
5,193,193,a1183,b294,myths 002 [ep],ariel pink,Jan 27 2017,pom pom,ariel pink,Nov 17 2014,0
