,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
0,0,a1001,b2328,black and white rainbows,bush,Mar 10 2017,black and white rainbows,bush,Mar 10 2017
1,1,a1001,b238,black and white rainbows,bush,Mar 10 2017,man on the run,bush,Oct 21 2014
2,2,a1004,b2330,different creatures,circa waves,Mar 10 2017,different creatures,circa waves,Mar 10 2017
3,3,a1004,b494,different creatures,circa waves,Mar 10 2017,young chasers,circa waves,Mar 30 2015
4,4,a1005,b2355,jawbone [original motion picture soundtrack],paul weller,Mar 10 2017,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017
5,5,a1005,b2675,jawbone [original motion picture soundtrack],paul weller,Mar 10 2017,a kind revolution,paul weller,May 12 2017
6,6,a1009,b2350,elektrac,shobaleader one,Mar 10 2017,elektrac,shobaleader one,Mar 10 2017
7,7,a1010,b2358,packs,your old droog,Mar 10 2017,packs,your old droog,Mar 10 2017
8,8,a1010,b324,packs,your old droog,Mar 10 2017,your old droog,your old droog,Nov 25 2014
9,9,a1012,b2346,captain california,murs,Mar 10 2017,captain california,murs,Mar 10 2017
10,10,a1013,b1230,number 1 angel [mixtape],charli xcx,Mar 10 2017,vroom vroom,charli xcx,Feb 26 2016
11,11,a1013,b2329,number 1 angel [mixtape],charli xcx,Mar 10 2017,number 1 angel,charli xcx,Mar 10 2017
12,12,a1013,b3182,number 1 angel [mixtape],charli xcx,Mar 10 2017,pop 2,charli xcx,Dec 15 2017
13,13,a1013,b341,number 1 angel [mixtape],charli xcx,Mar 10 2017,sucker,charli xcx,Dec 15 2014
14,14,a1015,b2308,wired,mallory knox,Mar 10 2017,wired,mallory knox,Mar 3 2017
15,15,a102,b3132,synthesis,evanescence,Nov 10 2017,synthesis,evanescence,Nov 10 2017
16,16,a1020,b1422,paradise,jenn grant,Mar 10 2017,paradise,white lung,May 6 2016
17,17,a1020,b2365,paradise,jenn grant,Mar 10 2017,paradise,anohni,Mar 17 2017
18,18,a1022,b2304,solide mirage,françois & the atlas mountains,Mar 3 2017,season of the witch,john 5 and the creatures,Mar 3 2017
19,19,a1022,b2311,solide mirage,françois & the atlas mountains,Mar 3 2017,voids,minus the bear,Mar 3 2017
20,20,a1022,b2312,solide mirage,françois & the atlas mountains,Mar 3 2017,two devils will talk,the real mckenzies,Mar 3 2017
21,21,a1022,b2317,solide mirage,françois & the atlas mountains,Mar 3 2017,halfway human,within the ruins,Mar 3 2017
22,22,a1023,b2313,english tapas,sleaford mods,Mar 3 2017,english tapas,sleaford mods,Mar 3 2017
23,23,a1023,b745,english tapas,sleaford mods,Mar 3 2017,key markets,sleaford mods,Jul 24 2015
24,24,a1024,b2294,world eater,blanck mass,Mar 3 2017,world eater,blanck mass,Mar 3 2017
25,25,a1026,b2301,last place,grandaddy,Mar 3 2017,last place,grandaddy,Mar 3 2017
26,26,a1027,b2314,volcano,temples,Mar 3 2017,volcano,temples,Mar 3 2017
27,27,a1029,b2316,moh lhean,why?,Mar 3 2017,moh lhean,why?,Mar 3 2017
28,28,a103,b1972,master of puppets [remastered & expanded edition],metallica,Nov 10 2017,hardwired... to self-destruct,metallica,Nov 18 2016
29,29,a1031,b2299,divide,ed sheeran,Mar 3 2017,÷,ed sheeran,Mar 3 2017
30,30,a1032,b2304,voids,minus the bear,Mar 3 2017,season of the witch,john 5 and the creatures,Mar 3 2017
31,31,a1032,b2311,voids,minus the bear,Mar 3 2017,voids,minus the bear,Mar 3 2017
32,32,a1032,b2312,voids,minus the bear,Mar 3 2017,two devils will talk,the real mckenzies,Mar 3 2017
33,33,a1032,b2317,voids,minus the bear,Mar 3 2017,halfway human,within the ruins,Mar 3 2017
34,34,a1034,b2304,the best of the dualtone years,guy clark,Mar 3 2017,season of the witch,john 5 and the creatures,Mar 3 2017
35,35,a1036,b2310,everything is forgotten,methyl ethel,Mar 3 2017,everything is forgotten,methyl ethel,Mar 3 2017
36,36,a1037,b2297,freedom is free,chicano batman,Mar 3 2017,freedom is free,chicano batman,Mar 3 2017
37,37,a1041,b2595,pleasure,sondre lerche,Mar 3 2017,pleasure,feist,Apr 28 2017
38,38,a1044,b2256,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
39,39,a1044,b2260,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,in between,the feelies,Feb 24 2017
40,40,a1044,b2263,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,still // alone,the golden filter,Feb 24 2017
41,41,a1044,b2266,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017
42,42,a1044,b2272,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,tardigrades will inherit the earth,the mute gods,Feb 24 2017
43,43,a1044,b2843,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,murder of the universe,king gizzard & the lizard wizard,Jun 23 2017
44,44,a1044,b3146,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,polygondwanaland,king gizzard & the lizard wizard,Nov 17 2017
45,45,a1044,b3188,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,gumboot soup,king gizzard & the lizard wizard,Dec 31 2017
46,46,a1045,b2268,sick scenes,los campesinos!,Feb 24 2017,sick scenes,los campesinos!,Feb 24 2017
47,47,a1046,b2277,why love now,pissed jeans,Feb 24 2017,why love now,pissed jeans,Feb 24 2017
48,48,a1047,b2255,crystal fairy,crystal fairy,Feb 24 2017,crystal fairy,crystal fairy,Feb 24 2017
49,49,a1048,b2253,burning the threshold,six organs of admittance,Feb 24 2017,the eternal reign,born of osiris,Feb 24 2017
50,50,a1048,b2256,burning the threshold,six organs of admittance,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
51,51,a1048,b422,burning the threshold,six organs of admittance,Feb 24 2017,hexadic,six organs of admittance,Feb 17 2015
52,52,a1049,b2256,in between,the feelies,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
53,53,a1049,b2260,in between,the feelies,Feb 24 2017,in between,the feelies,Feb 24 2017
54,54,a1049,b2263,in between,the feelies,Feb 24 2017,still // alone,the golden filter,Feb 24 2017
55,55,a1049,b2266,in between,the feelies,Feb 24 2017,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017
56,56,a1049,b2272,in between,the feelies,Feb 24 2017,tardigrades will inherit the earth,the mute gods,Feb 24 2017
57,57,a105,b2562,from the fires,greta van fleet,Nov 10 2017,black smoke rising,greta van fleet,Apr 21 2017
58,58,a1051,b2280,freedom highway,rhiannon giddens,Feb 24 2017,freedom highway,rhiannon giddens,Feb 24 2017
59,59,a1052,b1368,forget,xiu xiu,Feb 24 2017,xiu xiu plays the music of twin peaks,xiu xiu,Apr 16 2016
60,60,a1052,b2288,forget,xiu xiu,Feb 24 2017,forget,xiu xiu,Feb 24 2017
61,61,a1054,b2275,graveyard whistling,old 97's,Feb 24 2017,graveyard whistling,old 97's,Feb 24 2017
62,62,a1059,b2287,drunk,thundercat,Feb 24 2017,drunk,thundercat,Feb 24 2017
63,63,a1061,b2284,gang signs & prayer,stormzy,Feb 24 2017,gang signs & prayer,stormzy,Feb 24 2017
