,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
713,713,a2567,b44,feed the fire,promise and the monster,Jan 22 2016,the resistance: rise of the runaways,crown the empire,Jul 22 2014
715,715,a2569,b44,above the prairie,the pines,Jan 22 2016,the resistance: rise of the runaways,crown the empire,Jul 22 2014
724,724,a534,b44,"the sounds of crenshaw, vol. 1",the pollyseeds,Jul 14 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
736,736,a557,b44,the usual suspects,jah wobble's invaders of the heart,Jul 7 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
737,737,a558,b44,the nothing,the last dinosaur,Jul 7 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
884,884,a283,b44,music for the age of miracles,the clientele,Sep 22 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
913,913,a1866,b44,the soft bounce,beyond the wizards sleeve,Jul 1 2016,the resistance: rise of the runaways,crown the empire,Jul 22 2014
998,998,a478,b44,power of peace,the isley brothers,Jul 28 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
1008,1008,a2546,b44,here come the rattling trees,the high llamas,Jan 22 2016,the resistance: rise of the runaways,crown the empire,Jul 22 2014
1012,1012,a506,b44,barefoot in the head,the chris robinson brotherhood,Jul 21 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
2131,2131,a428,b84,lukas nelson & promise of the real [2017],lukas nelson & promise of the real,Aug 25 2017,museum of love,museum of love,Aug 19 2014
4389,4389,a331,b135,choir of the mind,emily haines & the soft skeleton,Sep 15 2017,the balcony,catfish and the bottlemen,Sept 15 2014
7531,7531,a243,b257,for sale: live at maxwell's 1986,the replacements,Oct 6 2017,at war with reality,at the gates,Oct 28 2014
7799,7799,a2732,b260,it's a holiday soul party,sharon jones & the dap-kings,Oct 30 2015,with a little help from my fwends,the flaming lips,Oct 28 2014
8016,8016,a2814,b263,christine and the queens,christine and the queens,Oct 16 2015,run the jewels 2,run the jewels,Oct 28 2014
8061,8061,a2834,b263,the documentary 2,the game,Oct 9 2015,run the jewels 2,run the jewels,Oct 28 2014
8095,8095,a149,b263,the  canyon,the used,Oct 27 2017,run the jewels 2,run the jewels,Oct 28 2014
8101,8101,a156,b263,the queen is dead [deluxe edition),the smiths,Oct 20 2017,run the jewels 2,run the jewels,Oct 28 2014
8114,8114,a185,b263,the wasted years [box set],the jazz butcher,Oct 20 2017,run the jewels 2,run the jewels,Oct 28 2014
8125,8125,a202,b263,queens of the breakers,the barr brothers,Oct 13 2017,run the jewels 2,run the jewels,Oct 28 2014
8132,8132,a213,b263,the wild,the rural alberta advantage,Oct 13 2017,run the jewels 2,run the jewels,Oct 28 2014
8145,8145,a227,b263,the weather station,the weather station,Oct 6 2017,run the jewels 2,run the jewels,Oct 28 2014
8233,8233,a1398,b263,the olympians,the olympians,Oct 28 2016,run the jewels 2,run the jewels,Oct 28 2014
8254,8254,a2799,b263,the documentary 2.5,the game,Oct 16 2015,run the jewels 2,run the jewels,Oct 28 2014
8258,8258,a1436,b263,mapping the rendezvous,the courteeners,Oct 21 2016,run the jewels 2,run the jewels,Oct 28 2014
8262,8262,a1441,b263,the deaner album,the dean ween group,Oct 21 2016,run the jewels 2,run the jewels,Oct 28 2014
8660,8660,a1351,b283,the early years 1967-1972 [box set],pink floyd,Nov 11 2016,the endless river,pink floyd,Nov 7 2014
